refYear,partner_group,flow_india,hhi
2020,China,Export,0.08590092445652131
2021,China,Export,0.0671976019426647
2022,China,Export,0.06153906945339384
2023,China,Export,0.07974197961602604
2024,China,Export,0.06947925620147757
2020,European Union,Export,0.05004352436875962
2021,European Union,Export,0.04947672163848711
2022,European Union,Export,0.05153045856932451
2023,European Union,Export,0.06486433622741165
2024,European Union,Export,0.07819731040922673
2020,United States,Export,0.06852120036755534
2021,United States,Export,0.0712320644240189
2022,United States,Export,0.06479907482762781
2023,United States,Export,0.06804579807206378
2024,United States,Export,0.06877332687766145
2020,China,Import,0.16116852787311015
2021,China,Import,0.1616679232918625
2022,China,Import,0.15875615710823787
2023,China,Import,0.18932963033044822
2024,China,Import,0.19953697563025008
2020,European Union,Import,0.08994904560532054
2021,European Union,Import,0.08852338163423125
2022,European Union,Import,0.08654528414651379
2023,European Union,Import,0.10098211722727021
2024,European Union,Import,0.09992766613986388
2020,United States,Import,0.11979013950544451
2021,United States,Import,0.18309799721449194
2022,United States,Import,0.19754757027932635
2023,United States,Import,0.1349951855399743
2024,United States,Import,0.13869134135693933
